Nome,Link Detalhes,Nome Petisco,Descricao,Endereco,Complemento
Garagge Vintage,https://comidadibuteco.com.br/buteco/garagge-vintage/,Bão Também,"Maminha cozida marinada no vinho tinto, servida com molho madeira, acompanhada de purê de abóbora moranga com bacon frito triturado e chips de massa de lasanha.","Avenida Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte – MG",
Geraldin da Cida,https://comidadibuteco.com.br/buteco/geraldin-da-cida/,"Sô mineiro, uai!",Alcatra com farofa de jiló com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.,"Rua Contria, 1459 | Grajaú, Belo Horizonte – MG",
Golden Grill,https://comidadibuteco.com.br/buteco/golden-grill/,Costelão dos Deuses,"Costelão de boi marinado em ervas finas acompanhado de purê de mandioca aligot, farofa crocante e molho agridoce especial.","Rua Amílcar Cabral, 515 | Milionários, Belo Horizonte – MG",
Iracema Bar,https://comidadibuteco.com.br/buteco/iracema-bar/,Harumaki de Carne de Panela,"Harumaki, também conhecido como rolinho primavera, recheado com uma carne de panela cozida com especiarias. Servido com um molho agridoce e picante.","Rua Almandina, 56 | Santa Teresa, Belo Horizonte – MG",
Ivo Grill,https://comidadibuteco.com.br/buteco/ivo-grill/,Kafajeste,"Kafta defumada na brasa harmonizada com sour cream, geleia de pimentas vermelhas e cebola em tiras crocantes.","Rua Professor Tristão da Cunha, 183 | Planalto, Belo Horizonte – MG",
Já To Inno,https://comidadibuteco.com.br/buteco/3165-revision-v1/,Moderação,"Kafta de lata, acompanhada de caponata de tomate com bacon e linguiça regados com angu à moda da casa gratinado com queijo.","Rua Benjamim Dias, 379 | Barreiro, Belo Horizonte – MG",
Juzé Bar,https://comidadibuteco.com.br/buteco/juze-bar/,"Macaxeira no buraco quente, com sabor de quero+","Carne cozida desfiada ao molho, servida na panhoca, acompanhada de macaxeira cozida na manteiga de garrafa ao alho e cebola caramelizada.","Rua Carlos Sá, 180 | Jardim Atlântico, Belo Horizonte – MG",Loja 5
Köbes Emporium Bar,https://comidadibuteco.com.br/buteco/kobes-emporium-bar/,Asas da Imaginação,"Asas de porco com molho à moda da casa, sobre purê de batata com açafrão.","Rua Professor Raimundo Nonato, 31 | Santa Tereza, Belo Horizonte – MG",A
Koqueiros Bar,https://comidadibuteco.com.br/buteco/3169-revision-v1/,"Duvidei, mas amei!","Berinjela empanada e frita servida ao molho à bolonhesa em uma cama de requeijão cremoso, coberta de muçarela. Acompanha pasteizinhos de vento da casa.","Avenida Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte – MG",
Lá Ele Bar,https://comidadibuteco.com.br/buteco/la-ele-bar/,Peitin Moído,"Maçã de peito cozida com legumes, acompanhada de farofa da casa, LAELEgrete e pão.","Av. General Carlos Guedes, 165 | Planalto, Belo Horizonte – MG",169 Loja de esquina
Leo da Quadra,https://comidadibuteco.com.br/buteco/leo-da-quadra/,Lembe os beiço,"Bisteca bovina, acompanhada de pirão e torradas.","Rua Oliveira Lisboa, 107 | Barreiro, Belo Horizonte – MG",
Locomotiva’s Bar,https://comidadibuteco.com.br/buteco/locomotivas-bar-2/,CUPIM: Embriagado e trouxa,"Trouxinha recheada com cupim marinado na cachaça e queijo canastra, acompanha maionese de alho.","Rua Carmésia, 568 | Santa Inês, Belo Horizonte – MG",
Magnífico Quintal,https://comidadibuteco.com.br/buteco/magnifico-quintal/,Cocoricó,"Frango assado com molho, batata recheada e pepino agridoce.","Rua Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte – MG",
Magrelo’s Bar,https://comidadibuteco.com.br/buteco/magrelos-bar-2/,Amigos do Peito,"Maçã de peito marinada em vinho tinto com ervas aromáticas, servida com polenta cremosa gratinada com queijo canastra e bolinhos de aipim, acompanhados de aioli de rúcula fresco.","Avenida Serrana, 635 | Serrano, Belo Horizonte – MG",
Mamute Bar,https://comidadibuteco.com.br/buteco/mamute-gastrobar/,C Tá de Parabéns!,"Bife rolê recheado com cenoura e carne de linguiça acompanhado de batata sauté, couve crispy e farofa da vovó.","Rua Brás Cubas, 116 | Cruzeiro, Belo Horizonte – MG",
Marina’s Bar,https://comidadibuteco.com.br/buteco/marinas-bar/,Estrem voa!,"Asinha de frango frita, marinada na laranja e ervas, coberta de queijo muçarela, acompanhada com creme de alho-poró e gengibre picante e fritas.","Rua José Baroni, 13 | Santa Efigênia, Belo Horizonte – MG",
Mineiros Beer,https://comidadibuteco.com.br/buteco/mineiros-beer/,Costela de Romeu e Julieta,"Costelinha suína assada lentamente, servida com molho de queijo canastra, barbecue de goiabada e farofa torrada.","Rua Romualdo Lopes Cançado, 399 | Castelo, Belo Horizonte – MG",
Mulão,https://comidadibuteco.com.br/buteco/3177-revision-v1/,Mullé,"Chã de fora recheada com calabresa no molho de cebola caramelizada no açúcar queimado. Acompanha purê de batatas, pimenta-biquinho, cebolinha.","Rua Marambaia, 291 | Caiçara, Belo Horizonte – MG",
Nosso Spetim,https://comidadibuteco.com.br/buteco/nosso-spetim/,Língua de Dois Amores,"Língua ao molho madeira, com fatia de pães e um espetinho de medalhão de batata recheada com queijo minas acompanhado de geleia biquinho.","Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte – MG",
O Fino do Alho,https://comidadibuteco.com.br/buteco/o-fino-do-alho/,SôdaTerra,"Carne de panela, temperada com especiarias, acompanhada de mandioca cozida no suco de beterraba e açafrão, finalizada com crispy de bacon e banana-da-terra.","Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte – MG",
Oratório Bar,https://comidadibuteco.com.br/buteco/oratorio-bar/,Costela de Adão,"Costelinha de porco assada, finalizada com molho barbecue e guarnecida em cama de farofa crocante, acompanhada de uma maçã caramelizada.","Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte – MG",
Parada 10.95 Bar,https://comidadibuteco.com.br/buteco/parada-10-95-bar/,Parada Holandesa,Uma adaptação do tradicional prato belgo-holandês carbonnade flamande. Carne bovina marinada na cerveja e cozida lentamente. Acompanha purê de mandioca e batata crocante.,"Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte – MG",
Parada do Sabor,https://comidadibuteco.com.br/buteco/parada-do-sabor/,Coração do Parada,"Coração de boi recheado com: bacon, linguiça, cenoura. Acompanha farofa, batata bolinha assada e molho glace.","Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte – MG",Loja A
Pé de Cana,https://comidadibuteco.com.br/buteco/pe-de-cana/,É PRAAATA!!!É PRAAAATA!!,"Bolo suíno recheado de queijo, acompanhado de molho de tomate, cobertura de muçarela e “confetes” de tomate, batatinha e cebola assadas.","Rua Flórida, 15 | Sion, Belo Horizonte – MG",
Pé de Goiaba,https://comidadibuteco.com.br/buteco/3179-revision-v1/,Bodas de Prata – 25 ANOS JUNTOS,"Lombo com queijo ao molho de abacaxi picante, farofa de bacon, torresminho à pururuca e couve.","Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte – MG","ou Rua Castro Alves, 195"
Planeta Lúpulo,https://comidadibuteco.com.br/buteco/planeta-lupulo/,Cestinha das Gerais,"Cestinhas de massa crocante recheadas com aligot de batata e queijo e fraldinha cozida na cerveja stout. Acompanhadas com biscoitos de queijo, farofa de bacon e couve crispy.","Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte – MG",
PoiZé Bar e Petisqueira,https://comidadibuteco.com.br/buteco/poize-bar-e-petisqueira/,Aparecidinho do Zé,Versão desconstruída do escondidinho. Creme de moranga com carne do sertão e cebola. Acompanha molho de cebola roxa.,"Rua Pium-I, 686 | Cruzeiro, Belo Horizonte – MG","Loja 2, 3, 4 e 5"
Prado Beer,https://comidadibuteco.com.br/buteco/prado-beer/,Amontadinho,"Angu com carne de panela, chips de jiló e molho à base de milho e cachaça.","Avenida Francisco Sá, 590 | Prado, Belo Horizonte – MG",
Prosa Boa,https://comidadibuteco.com.br/buteco/prosa-boa/,Roendo até os ossos,"Costela bovina braseada, acompanhada de batatinhas temperadas, antepasto de azeitonas e tomatinhos e farofa crocante de bacon.","Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte – MG",
Quinteiro Bar e Restaurante,https://comidadibuteco.com.br/buteco/quinteiro-bar-e-restaurante/,Vou comer seu bolo,"Massa de fubá com queijo, patinho desfiado com molho, tartar de tomate e cream cheese caseiro temperado.","Rua Salinas, 1008 | Floresta, Belo Horizonte – MG",
Quioxque Botequim Carioca,https://comidadibuteco.com.br/buteco/quioxque-butiquim-carioca/,Estamos de Parabéns,Bolo de mandioca na manteiga de garrafa recheado com carne seca e cobertura de cebola caramelizada e glacê de fonduta de queijo,"Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte – MG",
Quitandas da Tia Nice Bar,https://comidadibuteco.com.br/buteco/quitandas-da-tia-nice-bar/,QUÊ SÉ QUÉ!,"Disco de carne recheada com provolone, acompanhado de molhos especiais da casa e cachaça artesanal.","Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG",Loja 2
Rancho do Manoel,https://comidadibuteco.com.br/buteco/rancho-do-manoel/,Trem Bão Sô!,Maçã de peito acompanhada de purê de moranga e farofa da casa.,"Rua Isabel Bueno, 1100 | Jaraguá, Belo Horizonte – MG",
Recanto Vovó Tela,https://comidadibuteco.com.br/buteco/5701-revision-v1/,DE “25” 10 TMJ,"Picanha suína assada, marinada em limão pepper e páprica picante, acompanhada de minicebola empanada, farofa de ervilha e chutney de abacaxi com pimenta-dedo-de-moça.","Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte – MG",
Regis Bar,https://comidadibuteco.com.br/buteco/regis-bar/,Trio parada dura,Costelinha ao molho de abacaxi com mandioca e cebola.,"Avenida Vinte e Oito de Setembro, 872 | Esplanada, Belo Horizonte – MG",
